Date,Grand_Prix,Winner,Team,Laps,RaceTime_sec,AVG_Lap_Time_sec
1997-04-27,San Marino,Heinz-HaraldFrentzen,Williams Renault,62,5460,88.06451612903226
1997-04-13,Argentina,JacquesVilleneuve,Williams Renault,72,6721,93.34722222222223
1997-03-30,Brazil,JacquesVilleneuve,Williams Renault,72,5766,80.08333333333333
1997-03-09,Australia,DavidCoulthard,McLaren Mercedes,58,5428,93.58620689655173
1996-10-13,Japan,DamonHill,Williams Renault,52,5553,106.78846153846153
1996-09-22,Portugal,JacquesVilleneuve,Williams Renault,70,6022,86.02857142857142
1996-09-08,Italy,MichaelSchumacher,Ferrari,53,4663,87.98113207547169
1996-08-25,Belgium,MichaelSchumacher,Ferrari,44,5295,120.3409090909091
1996-08-11,Hungary,JacquesVilleneuve,Williams Renault,77,6381,82.87012987012987
1996-07-28,Germany,DamonHill,Williams Renault,45,4903,108.95555555555555
1996-07-14,Great Britain,JacquesVilleneuve,Williams Renault,61,5580,91.47540983606558
1996-06-30,France,DamonHill,Williams Renault,72,5788,80.38888888888889
1996-06-16,Canada,DamonHill,Williams Renault,69,5763,83.52173913043478
1996-06-02,Spain,MichaelSchumacher,Ferrari,65,7189,110.6
1996-05-19,Monaco,OlivierPanis,Ligier Mugen Honda,75,7245,96.6
1996-05-05,San Marino,DamonHill,Williams Renault,63,5726,90.88888888888889
1996-04-28,Europe,JacquesVilleneuve,Williams Renault,67,5606,83.67164179104478
1996-04-07,Argentina,DamonHill,Williams Renault,72,6895,95.76388888888889
1996-03-31,Brazil,DamonHill,Williams Renault,71,6592,92.84507042253522
1996-03-10,Australia,DamonHill,Williams Renault,58,5570,96.03448275862068
1995-11-12,Australia,DamonHill,Williams Renault,81,6555,80.92592592592592
1995-10-29,Japan,MichaelSchumacher,Benetton Renault,53,5812,109.66037735849056
1995-10-22,Pacific,MichaelSchumacher,Benetton Renault,83,6529,78.66265060240964
1995-10-01,Europe,MichaelSchumacher,Benetton Renault,67,5999,89.53731343283582
1995-09-24,Portugal,DavidCoulthard,Williams Renault,71,6112,86.08450704225352
1995-09-10,Italy,JohnnyHerbert,Benetton Renault,53,4707,88.81132075471699
1995-08-27,Belgium,MichaelSchumacher,Benetton Renault,44,5807,131.97727272727272
1995-08-13,Hungary,DamonHill,Williams Renault,77,6385,82.92207792207792
1995-07-30,Germany,MichaelSchumacher,Benetton Renault,45,4976,110.57777777777778
1995-07-16,Great Britain,JohnnyHerbert,Benetton Renault,61,5675,93.0327868852459
1995-07-02,France,MichaelSchumacher,Benetton Renault,72,5908,82.05555555555556
1995-06-11,Canada,JeanAlesi,Ferrari,69,6391,92.6231884057971
1995-05-28,Monaco,MichaelSchumacher,Benetton Renault,78,6791,87.06410256410257
1995-05-14,Spain,MichaelSchumacher,Benetton Renault,65,5660,87.07692307692308
1995-04-30,San Marino,DamonHill,Williams Renault,63,6102,96.85714285714286
1995-04-09,Argentina,DamonHill,Williams Renault,71,6699,94.35211267605634
1995-03-26,Brazil,MichaelSchumacher,Benetton Renault,71,5914,83.29577464788733
1994-11-13,Australia,NigelMansell,Williams Renault,81,6471,79.88888888888889
1994-11-06,Japan,DamonHill,Williams Renault,50,6953,139.06
1994-10-16,Europe,MichaelSchumacher,Benetton Ford,69,6026,87.33333333333333
1994-09-25,Portugal,DamonHill,Williams Renault,71,6070,85.49295774647888
1994-09-11,Italy,DamonHill,Williams Renault,53,4682,88.33962264150944
1994-08-28,Belgium,DamonHill,Williams Renault,44,5327,121.06818181818181
1994-08-14,Hungary,MichaelSchumacher,Benetton Ford,77,6480,84.15584415584415
1994-07-31,Germany,GerhardBerger,Ferrari,45,4957,110.15555555555555
1994-07-10,Great Britain,DamonHill,Williams Renault,60,5403,90.05
1994-07-03,France,MichaelSchumacher,Benetton Ford,72,5915,82.15277777777777
1994-06-12,Canada,MichaelSchumacher,Benetton Ford,69,6271,90.8840579710145
