Date,Grand_Prix,Winner,Team,Laps,RaceTime_sec,AVG_Lap_Time_sec
1984-04-29,Belgium,MicheleAlboreto,Ferrari,70,5792,82.74285714285715
1984-04-07,South Africa,NikiLauda,McLaren TAG,75,5363,71.50666666666666
1984-03-25,Brazil,AlainProst,McLaren TAG,61,6154,100.88524590163935
1983-10-15,South Africa,RiccardoPatrese,Brabham BMW,77,5605,72.79220779220779
1983-09-25,Europe,NelsonPiquet,Brabham BMW,76,5805,76.38157894736842
1983-09-11,Italy,NelsonPiquet,Brabham BMW,52,4990,95.96153846153847
1983-08-28,Netherlands,ReneArnoux,Ferrari,72,5921,82.23611111111111
1983-08-14,Austria,AlainProst,Renault,53,5072,95.69811320754717
1983-08-07,Germany,ReneArnoux,Ferrari,45,5230,116.22222222222223
1983-07-16,Great Britain,AlainProst,Renault,67,5079,75.80597014925372
1983-06-12,Canada,ReneArnoux,Ferrari,70,6511,93.01428571428572
1983-06-05,Detroit,MicheleAlboreto,Tyrrell Ford,60,6653,110.88333333333334
1983-05-22,Belgium,AlainProst,Renault,40,5231,130.775
1983-05-15,Monaco,KekeRosberg,Williams Ford,76,6998,92.07894736842105
1983-05-01,San Marino,PatrickTambay,Ferrari,60,5872,97.86666666666666
1983-04-17,France,AlainProst,Renault,54,5653,104.68518518518519
1983-03-27,USA West,JohnWatson,McLaren Ford,75,6814,90.85333333333334
1983-03-13,Brazil,NelsonPiquet,Brabham BMW,63,6507,103.28571428571429
1982-09-25,Las Vegas,MicheleAlboreto,Tyrrell Ford,75,6116,81.54666666666667
1982-09-12,Italy,ReneArnoux,Renault,52,4945,95.09615384615384
1982-08-29,Switzerland,KekeRosberg,Williams Ford,80,5561,69.5125
1982-08-15,Austria,Eliode Angelis,Lotus Ford,53,5102,96.26415094339623
1982-08-08,Germany,PatrickTambay,Ferrari,45,5245,116.55555555555556
1982-07-25,France,ReneArnoux,Renault,54,5613,103.94444444444444
1982-07-18,Great Britain,NikiLauda,McLaren Ford,76,5733,75.4342105263158
1982-07-03,Netherlands,DidierPironi,Ferrari,72,5883,81.70833333333333
1982-06-13,Canada,NelsonPiquet,Brabham BMW,70,6399,91.41428571428571
1982-06-06,Detroit,JohnWatson,McLaren Ford,62,7121,114.85483870967742
1982-05-23,Monaco,RiccardoPatrese,Brabham Ford,76,6851,90.14473684210526
1982-05-09,Belgium,JohnWatson,McLaren Ford,70,5741,82.01428571428572
1982-04-25,San Marino,DidierPironi,Ferrari,60,5798,96.63333333333334
1982-04-04,USA West,NikiLauda,McLaren Ford,75,7105,94.73333333333333
1982-03-21,Brazil,AlainProst,Renault,63,6273,99.57142857142857
1982-01-23,South Africa,AlainProst,Renault,77,5528,71.79220779220779
1981-10-17,Las Vegas,AlanJones,Williams Ford,75,6249,83.32
1981-09-27,Canada,JacquesLaffite,Ligier Matra,63,7285,115.63492063492063
1981-09-13,Italy,AlainProst,Renault,52,5193,99.86538461538461
1981-08-30,Netherlands,AlainProst,Renault,72,6022,83.63888888888889
1981-08-16,Austria,JacquesLaffite,Ligier Matra,53,5256,99.16981132075472
1981-08-02,Germany,NelsonPiquet,Brabham Ford,45,5155,114.55555555555556
1981-07-18,Great Britain,JohnWatson,McLaren Ford,68,5214,76.67647058823529
1981-07-05,France,AlainProst,Renault,80,5748,71.85
1981-06-21,Spain,GillesVilleneuve,Ferrari,80,6395,79.9375
1981-05-31,Monaco,GillesVilleneuve,Ferrari,76,6863,90.30263157894737
1981-05-17,Belgium,CarlosReutemann,Williams Ford,54,4591,85.01851851851852
1981-05-03,San Marino,NelsonPiquet,Brabham Ford,60,6683,111.38333333333334
1981-04-12,Argentina,NelsonPiquet,Brabham Ford,53,5672,107.01886792452831
1981-03-29,Brazil,CarlosReutemann,Williams Ford,62,7223,116.5
1981-03-15,USA West,AlanJones,Williams Ford,80,6641,83.0125
1980-10-05,USA East,AlanJones,Williams Ford,59,5676,96.20338983050847
1980-09-28,Canada,AlanJones,Williams Ford,70,6405,91.5
1980-09-14,Italy,NelsonPiquet,Brabham Ford,60,5887,98.11666666666666
1980-08-31,Netherlands,NelsonPiquet,Brabham Ford,72,5893,81.84722222222223
1980-08-17,Austria,Jean-PierreJabouille,Renault,54,5175,95.83333333333333
1980-08-10,Germany,JacquesLaffite,Ligier Ford,45,4979,110.64444444444445
1980-07-13,Great Britain,AlanJones,Williams Ford,76,5689,74.85526315789474
1980-06-29,France,AlanJones,Williams Ford,54,5563,103.01851851851852
1980-05-18,Monaco,CarlosReutemann,Williams Ford,76,6934,91.23684210526316
1980-05-04,Belgium,DidierPironi,Ligier Ford,72,5926,82.30555555555556
1980-03-30,USA West,NelsonPiquet,Brabham Ford,80,6618,82.725
1980-03-01,South Africa,ReneArnoux,Renault,78,5812,74.51282051282051
1980-01-27,Brazil,ReneArnoux,Renault,40,6001,150.025
1980-01-13,Argentina,AlanJones,Williams Ford,53,6204,117.05660377358491
1979-10-07,USA East,GillesVilleneuve,Ferrari,59,6737,114.1864406779661
1979-09-30,Canada,AlanJones,Williams Ford,72,6726,93.41666666666667
1979-09-09,Italy,JodyScheckter,Ferrari,50,4920,98.4
1979-08-26,Netherlands,AlanJones,Williams Ford,75,6079,81.05333333333333
1979-08-12,Austria,AlanJones,Williams Ford,54,5258,97.37037037037037
1979-07-29,Germany,AlanJones,Williams Ford,45,5088,113.06666666666666
1979-07-14,Great Britain,ClayRegazzoni,Williams Ford,68,5171,76.04411764705883
1979-07-01,France,Jean-PierreJabouille,Renault,80,5720,71.5
1979-05-27,Monaco,JodyScheckter,Ferrari,76,6922,91.07894736842105
1979-05-13,Belgium,JodyScheckter,Ferrari,70,5999,85.7
1979-04-29,Spain,PatrickDepailler,Ligier Ford,75,5951,79.34666666666666
1979-04-08,USA West,GillesVilleneuve,Ferrari,80,6625,82.8125
1979-03-03,South Africa,GillesVilleneuve,Ferrari,78,6109,78.32051282051282
1979-02-04,Brazil,JacquesLaffite,Ligier Ford,40,6009,150.225
1979-01-21,Argentina,JacquesLaffite,Ligier Ford,53,5763,108.73584905660377
1978-10-08,Canada,GillesVilleneuve,Ferrari,70,7069,100.98571428571428
1978-10-01,USA East,CarlosReutemann,Ferrari,59,6048,102.50847457627118
1978-09-10,Italy,NikiLauda,Brabham Alfa Romeo,40,4024,100.6
1978-08-27,Netherlands,MarioAndretti,Lotus Ford,75,6064,80.85333333333334
1978-08-13,Austria,RonniePeterson,Lotus Ford,54,6081,112.61111111111111
1978-07-30,Germany,MarioAndretti,Lotus Ford,45,5280,117.33333333333333
1978-07-16,Great Britain,CarlosReutemann,Ferrari,76,6132,80.6842105263158
1978-07-02,France,MarioAndretti,Lotus Ford,54,5931,109.83333333333333
1978-06-17,Sweden,NikiLauda,Brabham Alfa Romeo,70,6060,86.57142857142857
1978-06-04,Spain,MarioAndretti,Lotus Ford,75,6107,81.42666666666666
1978-05-21,Belgium,MarioAndretti,Lotus Ford,70,5992,85.6
1978-05-07,Monaco,PatrickDepailler,Tyrrell Ford,75,6914,92.18666666666667
1978-04-02,USA West,CarlosReutemann,Ferrari,80,6721,84.0125
1978-03-04,South Africa,RonniePeterson,Lotus Ford,78,6135,78.65384615384616
1978-01-29,Brazil,CarlosReutemann,Ferrari,63,6599,104.74603174603175
1978-01-15,Argentina,MarioAndretti,Lotus Ford,52,5824,112.0
1977-10-23,Japan,JamesHunt,McLaren Ford,73,5511,75.4931506849315
1977-10-09,Canada,JodyScheckter,Wolf Ford,80,6000,75.0
1977-10-02,USA East,JamesHunt,McLaren Ford,59,7103,120.38983050847457
1977-09-11,Italy,MarioAndretti,Lotus Ford,52,5270,101.34615384615384
1977-08-28,Netherlands,NikiLauda,Ferrari,75,6105,81.4
1977-08-14,Austria,AlanJones,Shadow Ford,54,5836,108.07407407407408
1977-07-31,Germany,NikiLauda,Ferrari,47,5508,117.19148936170212
1977-07-16,Great Britain,JamesHunt,McLaren Ford,68,5506,80.97058823529412
1977-07-03,France,MarioAndretti,Lotus Ford,80,5980,74.75
1977-06-19,Sweden,JacquesLaffite,Ligier Matra,72,6415,89.09722222222223
1977-06-05,Belgium,GunnarNilsson,Lotus Ford,70,6905,98.64285714285714
1977-05-22,Monaco,JodyScheckter,Wolf Ford,76,7072,93.05263157894737
1977-05-08,Spain,MarioAndretti,Lotus Ford,75,6172,82.29333333333334
1977-04-03,USA West,MarioAndretti,Lotus Ford,80,6695,83.6875
1977-03-05,South Africa,NikiLauda,Ferrari,78,6141,78.73076923076923
1977-01-23,Brazil,CarlosReutemann,Ferrari,40,6307,157.675
1977-01-09,Argentina,JodyScheckter,Wolf Ford,53,6011,113.41509433962264
1976-10-24,Japan,MarioAndretti,Lotus Ford,73,6238,85.45205479452055
1976-10-10,USA East,JamesHunt,McLaren Ford,59,6160,104.40677966101696
1976-10-03,Canada,JamesHunt,McLaren Ford,80,6009,75.1125
1976-09-12,Italy,RonniePeterson,March Ford,52,5435,104.51923076923077
1976-08-29,Netherlands,JamesHunt,McLaren Ford,75,6292,83.89333333333333
1976-08-15,Austria,JohnWatson,Penske Ford,54,5407,100.12962962962963
1976-08-01,Germany,JamesHunt,McLaren Ford,14,6102,435.85714285714283
1976-07-18,Great Britain,NikiLauda,Ferrari,76,6259,82.35526315789474
1976-07-04,France,JamesHunt,McLaren Ford,54,6058,112.18518518518519
1976-06-13,Sweden,JodyScheckter,Tyrrell Ford,72,6413,89.06944444444444
1976-05-30,Monaco,NikiLauda,Ferrari,78,7191,92.1923076923077
1976-05-16,Belgium,NikiLauda,Ferrari,70,6173,88.18571428571428
1976-05-02,Spain,JamesHunt,McLaren Ford,75,6140,81.86666666666666
1976-03-28,USA West,ClayRegazzoni,Ferrari,80,6798,84.975
1976-03-06,South Africa,NikiLauda,Ferrari,78,6138,78.6923076923077
1976-01-25,Brazil,NikiLauda,Ferrari,40,6316,157.9
1975-10-05,United States,NikiLauda,Ferrari,59,6178,104.71186440677967
1975-09-07,Italy,ClayRegazzoni,Ferrari,52,4962,95.42307692307692
1975-08-17,Austria,VittorioBrambilla,March Ford,29,208560,7191.724137931034
1975-08-03,Germany,CarlosReutemann,Brabham Ford,14,6074,433.85714285714283
1975-07-19,Great Britain,EmersonFittipaldi,McLaren Ford,56,4925,87.94642857142857
1975-07-06,France,NikiLauda,Ferrari,54,6018,111.44444444444444
1975-06-22,Netherlands,JamesHunt,Hesketh Ford,75,6417,85.56
1975-06-08,Sweden,NikiLauda,Ferrari,80,7158,89.475
1975-05-25,Belgium,NikiLauda,Ferrari,70,6233,89.04285714285714
1975-05-11,Monaco,NikiLauda,Ferrari,75,7281,97.08
1975-04-27,Spain,JochenMass,McLaren Ford,29,154380,5323.448275862069
1975-03-01,South Africa,JodyScheckter,Tyrrell Ford,78,6196,79.43589743589743
1975-01-26,Brazil,CarlosPace,Brabham Ford,40,6281,157.025
1975-01-12,Argentina,EmersonFittipaldi,McLaren Ford,53,5966,112.56603773584905
1974-10-06,United States,CarlosReutemann,Brabham Ford,59,6021,102.05084745762711
1974-09-22,Canada,EmersonFittipaldi,McLaren Ford,80,6026,75.325
1974-09-08,Italy,RonniePeterson,Lotus Ford,52,4976,95.6923076923077
1974-08-18,Austria,CarlosReutemann,Brabham Ford,54,5324,98.5925925925926
1974-08-04,Germany,ClayRegazzoni,Ferrari,14,6095,435.35714285714283
1974-07-20,Great Britain,JodyScheckter,Tyrrell Ford,75,6182,82.42666666666666
1974-07-07,France,RonniePeterson,Lotus Ford,80,4915,61.4375
1974-06-23,Netherlands,NikiLauda,Ferrari,75,6180,82.4
1974-06-09,Sweden,JodyScheckter,Tyrrell Ford,80,7111,88.8875
1974-05-26,Monaco,RonniePeterson,Lotus Ford,78,7083,90.8076923076923
1974-05-12,Belgium,EmersonFittipaldi,McLaren Ford,85,6260,73.6470588235294
1974-04-28,Spain,NikiLauda,Ferrari,84,7229,86.05952380952381
1974-03-30,South Africa,CarlosReutemann,Brabham Ford,78,6160,78.97435897435898
1974-01-27,Brazil,EmersonFittipaldi,McLaren Ford,32,5077,158.65625
1974-01-13,Argentina,DennyHulme,McLaren Ford,53,6062,114.37735849056604
1973-10-07,United States,RonniePeterson,Lotus Ford,59,6075,102.96610169491525
1973-09-23,Canada,PeterRevson,McLaren Ford,80,7144,89.3
1973-09-09,Italy,RonniePeterson,Lotus Ford,55,5357,97.4
1973-08-19,Austria,RonniePeterson,Lotus Ford,54,5328,98.66666666666667
1973-08-05,Germany,JackieStewart,Tyrrell Ford,14,6123,437.35714285714283
1973-07-29,Netherlands,JackieStewart,Tyrrell Ford,72,5952,82.66666666666667
1973-07-14,Great Britain,PeterRevson,McLaren Ford,67,5358,79.97014925373135
1973-07-01,France,RonniePeterson,Lotus Ford,54,6096,112.88888888888889
1973-06-17,Sweden,DennyHulme,McLaren Ford,80,7006,87.575
1973-06-03,Monaco,JackieStewart,Tyrrell Ford,78,7064,90.56410256410257
1973-05-20,Belgium,JackieStewart,Tyrrell Ford,70,6133,87.61428571428571
1973-04-29,Spain,EmersonFittipaldi,Lotus Ford,75,6498,86.64
1973-03-03,South Africa,JackieStewart,Tyrrell Ford,79,6191,78.36708860759494
1973-02-11,Brazil,EmersonFittipaldi,Lotus Ford,40,6235,155.875
1973-01-28,Argentina,EmersonFittipaldi,Lotus Ford,96,6978,72.6875
1972-10-08,United States,JackieStewart,Tyrrell Ford,59,6105,103.47457627118644
1972-09-24,Canada,JackieStewart,Tyrrell Ford,80,6196,77.45
1972-09-10,Italy,EmersonFittipaldi,Lotus Ford,55,5398,98.14545454545454
1972-08-13,Austria,EmersonFittipaldi,Lotus Ford,54,5356,99.18518518518519
1972-07-30,Germany,JackyIckx,Ferrari,14,6132,438.0
1972-07-15,Great Britain,EmersonFittipaldi,Lotus Ford,76,6470,85.13157894736842
1972-07-02,France,JackieStewart,Tyrrell Ford,38,6741,177.39473684210526
1972-06-04,Belgium,EmersonFittipaldi,Lotus Ford,85,6246,73.48235294117647
1972-05-14,Monaco,Jean-PierreBeltoise,BRM,80,8814,110.175
1972-05-01,Spain,EmersonFittipaldi,Lotus Ford,90,7421,82.45555555555555
1972-03-04,South Africa,DennyHulme,McLaren Ford,79,6349,80.36708860759494
1972-01-23,Argentina,JackieStewart,Tyrrell Ford,95,7078,74.50526315789473
1971-10-03,United States,FrancoisCevert,Tyrrell Ford,59,6231,105.61016949152543
1971-09-19,Canada,JackieStewart,Tyrrell Ford,64,6912,108.0
1971-09-05,Italy,PeterGethin,BRM,55,4692,85.30909090909091
1971-08-15,Austria,JoSiffert,BRM,54,5423,100.42592592592592
1971-08-01,Germany,JackieStewart,Tyrrell Ford,12,5355,446.25
1971-07-17,Great Britain,JackieStewart,Tyrrell Ford,68,5491,80.75
1971-07-04,France,JackieStewart,Tyrrell Ford,55,6401,116.38181818181818
1971-06-20,Netherlands,JackyIckx,Ferrari,70,6980,99.71428571428571
1971-05-23,Monaco,JackieStewart,Tyrrell Ford,80,6741,84.2625
1971-04-18,Spain,JackieStewart,Tyrrell Ford,75,6543,87.24
1971-03-06,South Africa,MarioAndretti,Ferrari,79,6455,81.70886075949367
1970-10-25,Mexico,JackyIckx,Ferrari,65,6808,104.73846153846154
1970-10-04,United States,EmersonFittipaldi,Lotus Ford,108,7052,65.29629629629629
1970-09-20,Canada,JackyIckx,Ferrari,90,8478,94.2
1970-09-06,Italy,ClayRegazzoni,Ferrari,68,5946,87.44117647058823
1970-08-16,Austria,JackyIckx,Ferrari,60,6137,102.28333333333333
1970-08-02,Germany,JochenRindt,Lotus Ford,50,6120,122.4
1970-07-18,Great Britain,JochenRindt,Lotus Ford,80,7022,87.775
1970-07-05,France,JochenRindt,Lotus Ford,38,6957,183.07894736842104
1970-06-21,Netherlands,JochenRindt,Lotus Ford,80,6643,83.0375
1970-06-07,Belgium,PedroRodriguez,BRM,28,5889,210.32142857142858
1970-05-10,Monaco,JochenRindt,Lotus Ford,80,6876,85.95
1970-04-19,Spain,JackieStewart,March Ford,90,7858,87.31111111111112
1970-03-07,South Africa,JackBrabham,Brabham Ford,80,6574,82.175
1969-10-19,Mexico,DennyHulme,McLaren Ford,65,6848,105.35384615384615
1969-10-05,United States,JochenRindt,Lotus Ford,108,7076,65.51851851851852
1969-09-20,Canada,JackyIckx,Brabham Ford,90,7165,79.61111111111111
1969-09-07,Italy,JackieStewart,Matra Ford,68,5951,87.51470588235294
1969-08-03,Germany,JackyIckx,Brabham Ford,14,6595,471.07142857142856
1969-07-19,Great Britain,JackieStewart,Matra Ford,84,6955,82.79761904761905
1969-07-06,France,JackieStewart,Matra Ford,38,7007,184.39473684210526
1969-06-21,Netherlands,JackieStewart,Matra Ford,90,7602,84.46666666666667
1969-05-18,Monaco,GrahamHill,Lotus Ford,80,7019,87.7375
1969-05-04,Spain,JackieStewart,Matra Ford,90,8213,91.25555555555556
1969-03-01,South Africa,JackieStewart,Matra Ford,80,6639,82.9875
1968-11-03,Mexico,GrahamHill,Lotus Ford,65,7003,107.73846153846154
1968-10-06,United States,JackieStewart,Matra Ford,108,7160,66.29629629629629
1968-09-22,Canada,DennyHulme,McLaren Ford,90,8831,98.12222222222222
1968-09-08,Italy,DennyHulme,McLaren Ford,68,6014,88.44117647058823
1968-08-04,Germany,JackieStewart,Matra Ford,14,8343,595.9285714285714
1968-07-20,Great Britain,JoSiffert,Lotus Ford,80,7280,91.0
1968-07-07,France,JackyIckx,Ferrari,60,8740,145.66666666666666
1968-06-23,Netherlands,JackieStewart,Matra Ford,90,9971,110.78888888888889
1968-06-09,Belgium,BruceMcLaren,McLaren Ford,28,6002,214.35714285714286
1968-05-26,Monaco,GrahamHill,Lotus Ford,80,7232,90.4
1968-05-12,Spain,GrahamHill,Lotus Ford,90,8120,90.22222222222223
1968-01-01,South Africa,JimClark,Lotus Ford,80,6836,85.45
1967-10-22,Mexico,JimClark,Lotus Ford,65,7168,110.27692307692308
1967-10-01,United States,JimClark,Lotus Ford,108,7393,68.45370370370371
1967-09-10,Italy,JohnSurtees,Honda,68,6225,91.54411764705883
1967-08-27,Canada,JackBrabham,Brabham Repco,90,9640,107.11111111111111
1967-08-06,Germany,DennyHulme,Brabham Repco,15,7555,503.6666666666667
1967-07-15,Great Britain,JimClark,Lotus Ford,80,7165,89.5625
1967-07-02,France,JackBrabham,Brabham Repco,80,8001,100.0125
1967-06-18,Belgium,DanGurney,Eagle Weslake,28,6049,216.03571428571428
1967-06-04,Netherlands,JimClark,Lotus Ford,90,8085,89.83333333333333
1967-05-07,Monaco,DennyHulme,Brabham Repco,100,9274,92.74
1967-01-02,South Africa,PedroRodriguez,Cooper Maserati,80,7545,94.3125
1966-10-23,Mexico,JohnSurtees,Cooper Maserati,65,7595,116.84615384615384
1966-10-02,United States,JimClark,Lotus BRM,108,7780,72.03703703703704
1966-09-04,Italy,LudovicoScarfiotti,Ferrari,68,6434,94.61764705882354
1966-08-07,Germany,JackBrabham,Brabham Repco,15,8823,588.2
1966-07-24,Netherlands,JackBrabham,Brabham Repco,90,8432,93.68888888888888
1966-07-16,Great Britain,JackBrabham,Brabham Repco,80,7993,99.9125
1966-07-03,France,JackBrabham,Brabham Repco,48,6511,135.64583333333334
1966-06-12,Belgium,JohnSurtees,Ferrari,28,7751,276.82142857142856
1966-05-22,Monaco,JackieStewart,BRM,100,9190,91.9
1965-10-24,Mexico,RichieGinther,Honda,65,7712,118.64615384615385
1965-10-03,United States,GrahamHill,BRM,110,8436,76.69090909090909
1965-09-12,Italy,JackieStewart,BRM,76,7492,98.57894736842105
1965-08-01,Germany,JimClark,Lotus Climax,15,7672,511.46666666666664
1965-07-18,Netherlands,JimClark,Lotus Climax,80,7439,92.9875
1965-07-10,Great Britain,JimClark,Lotus Climax,80,7525,94.0625
1965-06-27,France,JimClark,Lotus Climax,40,8078,201.95
1965-06-13,Belgium,JimClark,Lotus Climax,32,8614,269.1875
1965-05-30,Monaco,GrahamHill,BRM,100,9459,94.59
1965-01-01,South Africa,JimClark,Lotus Climax,85,7606,89.48235294117647
1964-10-25,Mexico,DanGurney,Brabham Climax,65,7790,119.84615384615384
1964-10-04,United States,GrahamHill,BRM,110,8198,74.52727272727273
1964-09-06,Italy,JohnSurtees,Ferrari,78,7851,100.65384615384616
1964-08-23,Austria,LorenzoBandini,Ferrari,105,7578,72.17142857142858
1964-08-02,Germany,JohnSurtees,Ferrari,15,7924,528.2666666666667
1964-07-11,Great Britain,JimClark,Lotus Climax,80,8107,101.3375
1964-06-28,France,DanGurney,Brabham Climax,57,7669,134.5438596491228
1964-06-14,Belgium,JimClark,Lotus Climax,32,7600,237.5
1964-05-24,Netherlands,JimClark,Lotus Climax,80,7655,95.6875
1964-05-10,Monaco,GrahamHill,BRM,100,9679,96.79
1963-12-28,South Africa,JimClark,Lotus Climax,85,7836,92.18823529411765
1963-10-27,Mexico,JimClark,Lotus Climax,65,7792,119.87692307692308
1963-10-06,United States,GrahamHill,BRM,110,8362,76.01818181818182
1963-09-08,Italy,JimClark,Lotus Climax,86,8659,100.68604651162791
1963-08-04,Germany,JohnSurtees,Ferrari,15,7986,532.4
1963-07-20,Great Britain,JimClark,Lotus Climax,82,8049,98.15853658536585
1963-06-30,France,JimClark,Lotus Climax,53,7854,148.18867924528303
1963-06-23,Netherlands,JimClark,Lotus Climax,80,7693,96.1625
1963-06-09,Belgium,JimClark,Lotus Climax,32,8867,277.09375
1963-05-26,Monaco,GrahamHill,BRM,100,9709,97.09
1962-12-29,South Africa,GrahamHill,BRM,82,7683,93.6951219512195
1962-10-07,United States,JimClark,Lotus Climax,100,7633,76.33
1962-09-16,Italy,GrahamHill,BRM,86,8948,104.04651162790698
1962-08-05,Germany,GrahamHill,BRM,15,9525,635.0
1962-07-21,Great Britain,JimClark,Lotus Climax,75,8780,117.06666666666666
1962-07-08,France,DanGurney,Porsche,54,7655,141.75925925925927
1962-06-17,Belgium,JimClark,Lotus Climax,32,7652,239.125
1962-06-03,Monaco,BruceMcLaren,Cooper Climax,100,9989,99.89
1962-05-20,Netherlands,GrahamHill,BRM,80,7862,98.275
1961-10-08,United States,InnesIreland,Lotus Climax,100,8025,80.25
1961-09-10,Italy,PhilHill,Ferrari,43,7393,171.93023255813952
1961-08-06,Germany,StirlingMoss,Lotus Climax,15,8292,552.8
1961-07-15,Great Britain,Wolfgangvon Trips,Ferrari,75,9653,128.70666666666668
1961-07-02,France,GiancarloBaghetti,Ferrari,52,8057,154.94230769230768
1961-06-18,Belgium,PhilHill,Ferrari,30,7383,246.1
1961-05-22,Netherlands,Wolfgangvon Trips,Ferrari,75,7312,97.49333333333334
1961-05-14,Monaco,StirlingMoss,Lotus Climax,100,9950,99.5
1960-11-20,United States,StirlingMoss,Lotus Climax,75,8932,119.09333333333333
1960-09-04,Italy,PhilHill,Ferrari,50,8469,169.38
1960-08-14,Portugal,JackBrabham,Cooper Climax,55,8340,151.63636363636363
1960-07-16,Great Britain,JackBrabham,Cooper Climax,77,7464,96.93506493506493
1960-07-03,France,JackBrabham,Cooper Climax,50,7044,140.88
1960-06-19,Belgium,JackBrabham,Cooper Climax,36,8497,236.02777777777777
1960-06-06,Netherlands,JackBrabham,Cooper Climax,75,7307,97.42666666666666
1960-05-30,Indianapolis 500,JimRathmann,Watson Offenhauser,200,12971,64.855
1960-05-29,Monaco,StirlingMoss,Lotus Climax,100,10425,104.25
1960-02-07,Argentina,BruceMcLaren,Cooper Climax,80,8269,103.3625
1959-12-12,United States,BruceMcLaren,Cooper Climax,42,7955,189.4047619047619
1959-09-13,Italy,StirlingMoss,Cooper Climax,72,7445,103.40277777777777
1959-08-23,Portugal,StirlingMoss,Cooper Climax,62,7915,127.66129032258064
1959-08-02,Germany,TonyBrooks,Ferrari,60,7771,129.51666666666668
1959-07-18,Great Britain,JackBrabham,Cooper Climax,75,9011,120.14666666666666
1959-07-05,France,TonyBrooks,Ferrari,50,7286,145.72
1959-05-31,Netherlands,JoBonnier,BRM,75,7526,100.34666666666666
1959-05-30,Indianapolis 500,RodgerWard,Watson Offenhauser,200,13249,66.245
1959-05-10,Monaco,JackBrabham,Cooper Climax,100,10551,105.51
1958-10-19,Morocco,StirlingMoss,Vanwall,53,7755,146.32075471698113
1958-09-07,Italy,TonyBrooks,Vanwall,70,7427,106.1
1958-08-24,Portugal,StirlingMoss,Vanwall,50,7887,157.74
1958-08-03,Germany,TonyBrooks,Vanwall,15,8475,565.0
1958-07-19,Great Britain,PeterCollins,Ferrari,75,7744,103.25333333333333
1958-07-06,France,MikeHawthorn,Ferrari,50,7401,148.02
1958-06-15,Belgium,TonyBrooks,Vanwall,24,5826,242.75
1958-05-30,Indianapolis 500,JimmyBryan,Epperly Offenhauser,200,13453,67.265
1958-05-26,Netherlands,StirlingMoss,Vanwall,75,7489,99.85333333333334
1958-05-18,Monaco,MauriceTrintignant,Cooper Climax,100,10347,103.47
1958-01-19,Argentina,StirlingMoss,Cooper Climax,80,8373,104.6625
1957-09-08,Italy,StirlingMoss,Vanwall,87,9303,106.93103448275862
1957-08-18,Pescara,StirlingMoss,Vanwall,18,10762,597.8888888888889
1957-08-04,Germany,Juan ManuelFangio,Maserati,22,12638,574.4545454545455
1957-07-20,Great Britain,TonyBrooks,Vanwall,0,0,
1957-07-20,Great Britain,StirlingMoss,Vanwall,90,11197,124.41111111111111
1957-07-07,France,Juan ManuelFangio,Maserati,77,11266,146.3116883116883
1957-05-30,Indianapolis 500,SamHanks,Epperly Offenhauser,200,13274,66.37
1957-05-19,Monaco,Juan ManuelFangio,Maserati,105,11412,108.68571428571428
1957-01-13,Argentina,Juan ManuelFangio,Maserati,100,10855,108.55
1956-09-02,Italy,StirlingMoss,Maserati,50,8621,172.42
1956-08-05,Germany,Juan ManuelFangio,Ferrari,22,13123,596.5
1956-07-14,Great Britain,Juan ManuelFangio,Ferrari,101,10787,106.8019801980198
1956-07-01,France,PeterCollins,Ferrari,61,9263,151.85245901639345
1956-06-03,Belgium,PeterCollins,Ferrari,36,9600,266.6666666666667
1956-05-30,Indianapolis 500,PatFlaherty,Watson Offenhauser,200,14008,70.04
1956-05-13,Monaco,StirlingMoss,Maserati,100,10832,108.32
1956-01-22,Argentina,Juan ManuelFangio,Ferrari,98,10803,110.23469387755102
1956-01-22,Argentina,LuigiMusso,Ferrari,0,0,
1955-09-11,Italy,Juan ManuelFangio,Mercedes-Benz,50,8704,174.08
1955-07-16,Great Britain,StirlingMoss,Mercedes-Benz,90,11241,124.9
1955-06-19,Netherlands,Juan ManuelFangio,Mercedes-Benz,100,10463,104.63
1955-06-05,Belgium,Juan ManuelFangio,Mercedes-Benz,36,9569,265.80555555555554
1955-05-30,Indianapolis 500,BobSweikert,Kurtis Kraft Offenhauser,200,14039,70.195
1955-05-22,Monaco,MauriceTrintignant,Ferrari,100,10689,106.89
1955-01-16,Argentina,Juan ManuelFangio,Mercedes-Benz,96,10838,112.89583333333333
1954-10-24,Spain,MikeHawthorn,Ferrari,80,11632,145.4
1954-09-05,Italy,Juan ManuelFangio,Mercedes-Benz,80,10067,125.8375
1954-08-22,Switzerland,Juan ManuelFangio,Mercedes-Benz,66,10834,164.15151515151516
1954-08-01,Germany,Juan ManuelFangio,Mercedes-Benz,22,13545,615.6818181818181
1954-07-17,Great Britain,Jose FroilanGonzalez,Ferrari,90,10574,117.4888888888889
1954-07-04,France,Juan ManuelFangio,Mercedes-Benz,61,9767,160.11475409836066
1954-06-20,Belgium,Juan ManuelFangio,Maserati,36,9882,274.5
1954-05-31,Indianapolis 500,BillVukovich,Kurtis Kraft Offenhauser,200,13757,68.785
1954-01-17,Argentina,Juan ManuelFangio,Maserati,87,10855,124.77011494252874
1953-09-13,Italy,Juan ManuelFangio,Maserati,80,10185,127.3125
1953-08-23,Switzerland,AlbertoAscari,Ferrari,65,10894,167.6
